Payment.Method,Railcard,Ticket.Class,Ticket.Type,Price,Departure.Station,Arrival.Station,Departure,Scheduled.Arrival,Actual.Arrival,Journey.Status,Reason.for.Delay,Refund.Request,Row_ID,MediumPrice
Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 06:15:00,2024-01-03 06:45:00,,Cancelled,Signal Failure,0,399,0
Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 06:15:00,2024-01-03 06:45:00,,Cancelled,Signal Failure,0,401,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-03 08:00:00,2024-01-03 10:15:00,2024-01-03 11:09,Delayed,Weather,0,428,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-03 08:00:00,2024-01-03 10:15:00,2024-01-03 11:09,Delayed,Weather,0,429,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-03 08:00:00,2024-01-03 10:15:00,2024-01-03 11:09,Delayed,Weather,0,430,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-03 08:00:00,2024-01-03 10:15:00,2024-01-03 11:09,Delayed,Weather,0,431,0
Contactless,Adult,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-04 05:45:00,2024-01-04 06:15:00,2024-01-04 06:39,Delayed,Signal Failure,0,445,0
Debit Card,None,Standard,Advance,72,London Euston,Manchester Piccadilly,2024-01-04 06:30:00,2024-01-04 08:20:00,,Cancelled,Weather,1,460,0
Credit Card,None,Standard,Advance,35,London Kings Cross,York,2024-01-04 07:30:00,2024-01-04 09:20:00,,Cancelled,Signal Failure,0,475,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-04 08:00:00,2024-01-04 10:15:00,,Cancelled,Weather,1,479,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-04 08:00:00,2024-01-04 10:15:00,,Cancelled,Weather,0,481,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-04 08:00:00,2024-01-04 10:15:00,,Cancelled,Weather,0,483,0
Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 11:00:00,2024-01-03 11:30:00,2024-01-03 14:24,Delayed,Staff-Related,0,484,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-04 08:00:00,2024-01-04 10:15:00,,Cancelled,Weather,0,485,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-04 08:00:00,2024-01-04 10:15:00,,Cancelled,Weather,0,486,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-04 08:00:00,2024-01-04 10:15:00,,Cancelled,Weather,0,488,0
Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 11:00:00,2024-01-03 11:30:00,2024-01-03 14:24,Delayed,Staff-Related,0,489,0
Credit Card,None,First Class,Advance,118,Liverpool Lime Street,London Euston,2024-01-04 08:00:00,2024-01-04 10:15:00,,Cancelled,Weather,0,490,0
Contactless,Adult,Standard,Advance,6,Manchester Piccadilly,Leeds,2024-01-04 09:00:00,2024-01-04 09:45:00,2024-01-04 12:33,Delayed,Signal Failure,0,497,0
Debit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-03 11:15:00,2024-01-03 11:45:00,2024-01-03 12:12,Delayed,Technical Issue,1,500,0
Credit Card,Disabled,First Class,Off-Peak,27,London Paddington,Reading,2024-01-03 12:45:00,2024-01-03 13:45:00,,Cancelled,Technical Issue,0,504,1
Credit Card,Disabled,Standard,Off-Peak,13,London Paddington,Reading,2024-01-03 12:45:00,2024-01-03 13:45:00,,Cancelled,Technical Issue,1,505,1
Credit Card,Disabled,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-01-03 15:30:00,2024-01-03 16:50:00,,Cancelled,Weather,0,525,0
Debit Card,None,Standard,Off-Peak,43,Edinburgh Waverley,London Kings Cross,2024-01-03 15:30:00,2024-01-03 19:50:00,2024-01-03 20:10,Delayed,Staff-Related,1,537,0
Debit Card,None,First Class,Off-Peak,200,Manchester Piccadilly,London Euston,2024-01-03 15:30:00,2024-01-03 17:20:00,2024-01-03 17:39,Delayed,Staff-Related,1,540,0
Credit Card,Adult,Standard,Anytime,9,London Euston,Birmingham New Street,2024-01-03 17:45:00,2024-01-03 19:05:00,,Cancelled,Technical Issue,0,549,0
Credit Card,Adult,Standard,Anytime,9,London Euston,Birmingham New Street,2024-01-03 17:45:00,2024-01-03 19:05:00,,Cancelled,Technical Issue,0,551,0
Debit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-01-04 17:30:00,2024-01-04 19:45:00,2024-01-04 20:03,Delayed,Technical Issue,1,575,0
Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-03 18:45:00,2024-01-03 19:15:00,,Cancelled,Staff-Related,0,577,0
Debit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-01-04 17:30:00,2024-01-04 19:45:00,2024-01-04 20:03,Delayed,Technical Issue,1,579,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-04 17:45:00,2024-01-04 18:15:00,2024-01-04 19:09,Delayed,Weather,0,594,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-04 17:45:00,2024-01-04 18:15:00,2024-01-04 19:09,Delayed,Weather,0,597,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-04 17:45:00,2024-01-04 18:15:00,2024-01-04 19:09,Delayed,Weather,0,598,0
Credit Card,None,First Class,Advance,52,London Euston,Birmingham New Street,2024-01-04 20:00:00,2024-01-04 21:20:00,,Cancelled,Staff-Related,1,619,0
Credit Card,None,Standard,Off-Peak,53,London Kings Cross,York,2024-01-04 02:00:00,2024-01-04 03:50:00,,Cancelled,Staff-Related,0,643,0
Credit Card,Senior,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-05 00:00:00,2024-01-05 00:30:00,,Cancelled,Staff-Related,0,651,0
Credit Card,Senior,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-05 00:00:00,2024-01-05 00:30:00,,Cancelled,Staff-Related,0,652,0
Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-01-04 03:15:00,2024-01-04 03:45:00,,Cancelled,Traffic,1,654,0
Contactless,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-04 05:45:00,2024-01-04 06:15:00,2024-01-04 06:39,Delayed,Signal Failure,0,676,0
Debit Card,None,Standard,Anytime,143,London Euston,Manchester Piccadilly,2024-01-04 06:30:00,2024-01-04 08:20:00,,Cancelled,Weather,0,684,0
Credit Card,None,Standard,Anytime,70,London Kings Cross,York,2024-01-04 07:30:00,2024-01-04 09:20:00,,Cancelled,Signal Failure,0,702,0
Credit Card,None,Standard,Anytime,70,London Kings Cross,York,2024-01-04 07:30:00,2024-01-04 09:20:00,,Cancelled,Signal Failure,0,705,0
Credit Card,None,First Class,Anytime,235,Liverpool Lime Street,London Euston,2024-01-04 08:00:00,2024-01-04 10:15:00,,Cancelled,Weather,0,709,0
Credit Card,None,First Class,Anytime,267,Manchester Piccadilly,London Euston,2024-01-04 08:00:00,2024-01-04 09:50:00,2024-01-04 10:23,Delayed,Weather,0,711,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-04 08:00:00,2024-01-04 10:15:00,,Cancelled,Weather,0,712,0
Contactless,Disabled,Standard,Advance,8,London Paddington,Reading,2024-01-05 05:30:00,2024-01-05 06:30:00,2024-01-05 07:10,Delayed,Staff-Related,0,716,0
Contactless,Adult,Standard,Off-Peak,10,Manchester Piccadilly,Leeds,2024-01-04 09:00:00,2024-01-04 09:45:00,2024-01-04 12:33,Delayed,Signal Failure,0,723,0
Credit Card,Adult,Standard,Off-Peak,35,London Kings Cross,York,2024-01-04 09:45:00,2024-01-04 11:35:00,2024-01-04 12:00,Delayed,Signal Failure,0,744,0
Contactless,Adult,Standard,Off-Peak,35,London Kings Cross,York,2024-01-04 09:45:00,2024-01-04 11:35:00,2024-01-04 12:00,Delayed,Signal Failure,0,746,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-05 08:00:00,2024-01-05 10:15:00,2024-01-05 11:14,Delayed,Technical Issue,0,761,0
Credit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-04 11:15:00,2024-01-04 11:45:00,,Cancelled,Technical Issue,0,763,0
Contactless,Adult,Standard,Advance,6,Manchester Piccadilly,Leeds,2024-01-05 09:00:00,2024-01-05 09:45:00,2024-01-05 12:37,Delayed,Signal Failure,0,772,0
Contactless,Adult,First Class,Advance,6,Manchester Piccadilly,Liverpool Lime Street,2024-01-05 09:00:00,2024-01-05 09:30:00,2024-01-05 11:23,Delayed,Signal Failure,0,775,0
Contactless,Adult,Standard,Advance,6,Manchester Piccadilly,Leeds,2024-01-05 09:00:00,2024-01-05 09:45:00,2024-01-05 12:37,Delayed,Signal Failure,0,776,0
Debit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-04 11:15:00,2024-01-04 11:45:00,,Cancelled,Technical Issue,1,777,0
Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-05 11:15:00,2024-01-05 12:35:00,2024-01-05 13:20,Delayed,Technical Issue,1,785,0
Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-05 11:15:00,2024-01-05 12:35:00,2024-01-05 13:20,Delayed,Technical Issue,1,786,0
Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-05 11:15:00,2024-01-05 12:35:00,2024-01-05 13:20,Delayed,Technical Issue,1,787,0
Debit Card,None,Standard,Off-Peak,43,Edinburgh Waverley,London Kings Cross,2024-01-04 15:30:00,2024-01-04 19:50:00,2024-01-04 20:04,Delayed,Staff-Related,1,815,0
Contactless,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04 16:30:00,2024-01-04 17:00:00,,Cancelled,Weather,0,816,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04 17:45:00,2024-01-04 18:15:00,2024-01-04 19:09,Delayed,Weather,0,825,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04 17:45:00,2024-01-04 18:15:00,2024-01-04 19:09,Delayed,Weather,0,826,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04 17:45:00,2024-01-04 18:15:00,2024-01-04 19:09,Delayed,Weather,0,827,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04 17:45:00,2024-01-04 18:15:00,2024-01-04 19:09,Delayed,Weather,0,828,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-04 17:45:00,2024-01-04 18:15:00,2024-01-04 19:09,Delayed,Weather,0,830,0
Debit Card,Adult,Standard,Anytime,101,Liverpool Lime Street,London Euston,2024-01-04 17:30:00,2024-01-04 19:45:00,2024-01-04 20:03,Delayed,Technical Issue,1,836,0
Debit Card,Adult,Standard,Anytime,101,Liverpool Lime Street,London Euston,2024-01-04 17:30:00,2024-01-04 19:45:00,2024-01-04 20:03,Delayed,Technical Issue,1,837,0
Debit Card,Adult,Standard,Advance,56,Manchester Piccadilly,London Euston,2024-01-05 17:30:00,2024-01-05 19:20:00,2024-01-05 19:36,Delayed,Technical Issue,1,856,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-05 17:45:00,2024-01-05 18:15:00,2024-01-05 19:03,Delayed,Signal Failure,0,872,0
Credit Card,None,Standard,Advance,5,Birmingham New Street,Tamworth,2024-01-05 18:45:00,2024-01-05 19:05:00,,Cancelled,Staff-Related,0,884,0
Credit Card,Senior,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-05 00:00:00,2024-01-05 00:30:00,,Cancelled,Staff-Related,0,900,0
Contactless,Disabled,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-05 01:30:00,2024-01-05 02:00:00,,Cancelled,Weather,1,907,0
Contactless,Disabled,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-05 01:30:00,2024-01-05 02:00:00,,Cancelled,Weather,0,909,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-05 08:00:00,2024-01-05 10:15:00,2024-01-05 11:14,Delayed,Technical Issue,0,968,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-05 08:00:00,2024-01-05 10:15:00,2024-01-05 11:14,Delayed,Technical Issue,0,969,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-05 08:00:00,2024-01-05 10:15:00,2024-01-05 11:14,Delayed,Technical Issue,0,970,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-01-05 08:00:00,2024-01-05 10:15:00,2024-01-05 11:14,Delayed,Technical Issue,0,973,0
Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-01-06 06:15:00,2024-01-06 07:35:00,,Cancelled,Signal Failure,1,989,0
Credit Card,None,Standard,Advance,35,London Kings Cross,York,2024-01-06 06:15:00,2024-01-06 08:05:00,,Cancelled,Traffic,1,993,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-06 08:00:00,2024-01-06 10:15:00,,Cancelled,Signal Failure,0,1014,0
Credit Card,None,First Class,Advance,134,Manchester Piccadilly,London Euston,2024-01-06 08:00:00,2024-01-06 09:50:00,2024-01-06 10:30,Delayed,Weather,0,1015,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-06 08:00:00,2024-01-06 10:15:00,,Cancelled,Signal Failure,0,1017,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-06 08:00:00,2024-01-06 10:15:00,,Cancelled,Signal Failure,1,1020,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-06 08:00:00,2024-01-06 10:15:00,,Cancelled,Signal Failure,0,1023,0
Debit Card,Adult,Standard,Off-Peak,11,Birmingham New Street,Manchester Piccadilly,2024-01-05 11:15:00,2024-01-05 12:35:00,2024-01-05 13:20,Delayed,Technical Issue,1,1030,1
Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-06 11:15:00,2024-01-06 12:35:00,2024-01-06 13:12,Delayed,Technical Issue,1,1036,0
Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-06 11:15:00,2024-01-06 12:35:00,2024-01-06 13:12,Delayed,Technical Issue,1,1038,0
Credit Card,Disabled,First Class,Advance,7,Liverpool Lime Street,Manchester Piccadilly,2024-01-06 10:30:00,2024-01-06 11:00:00,,Cancelled,Staff-Related,1,1040,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-01-05 17:45:00,2024-01-05 18:15:00,2024-01-05 19:03,Delayed,Signal Failure,0,1085,0
Debit Card,Adult,Standard,Anytime,101,Liverpool Lime Street,London Euston,2024-01-05 17:30:00,2024-01-05 19:45:00,2024-01-05 19:49,Delayed,Technical Issue,1,1091,0
Credit Card,None,Standard,Anytime,10,Birmingham New Street,Tamworth,2024-01-05 18:45:00,2024-01-05 19:05:00,,Cancelled,Staff-Related,0,1093,0
Credit Card,None,Standard,Anytime,10,Birmingham New Street,Tamworth,2024-01-05 18:45:00,2024-01-05 19:05:00,,Cancelled,Staff-Related,1,1095,0
Contactless,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-01-06 20:15:00,2024-01-06 21:35:00,,Cancelled,Staff-Related,1,1139,0
Credit Card,None,Standard,Off-Peak,53,London Kings Cross,York,2024-01-06 06:15:00,2024-01-06 08:05:00,,Cancelled,Traffic,0,1186,0
Contactless,None,Standard,Off-Peak,53,London Kings Cross,York,2024-01-06 06:15:00,2024-01-06 08:05:00,,Cancelled,Traffic,0,1187,0
Credit Card,None,Standard,Off-Peak,53,London Kings Cross,York,2024-01-06 06:15:00,2024-01-06 08:05:00,,Cancelled,Traffic,0,1190,0
Credit Card,None,Standard,Advance,86,Manchester Piccadilly,London Paddington,2024-01-07 04:30:00,2024-01-07 06:45:00,,Cancelled,Signal Failure,1,1207,0
Credit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-06 08:00:00,2024-01-06 10:15:00,,Cancelled,Signal Failure,0,1218,0
Credit Card,None,Standard,Off-Peak,113,Liverpool Lime Street,London Euston,2024-01-06 08:00:00,2024-01-06 10:15:00,,Cancelled,Signal Failure,0,1219,0
Debit Card,Senior,Standard,Advance,8,London Paddington,Reading,2024-01-07 06:15:00,2024-01-07 07:15:00,,Cancelled,Staff-Related,1,1237,0
Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-01-07 06:30:00,2024-01-07 07:50:00,,Cancelled,Signal Failure,0,1239,0
Credit Card,None,Standard,Advance,9,Reading,Swindon,2024-01-07 07:30:00,2024-01-07 08:15:00,,Cancelled,Staff-Related,1,1246,0
Credit Card,None,Standard,Advance,9,Reading,Swindon,2024-01-07 07:30:00,2024-01-07 08:15:00,,Cancelled,Staff-Related,0,1247,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-07 08:00:00,2024-01-07 10:15:00,2024-01-07 11:11,Delayed,Weather,0,1255,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-07 08:00:00,2024-01-07 10:15:00,2024-01-07 11:11,Delayed,Weather,0,1256,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-07 08:00:00,2024-01-07 10:15:00,2024-01-07 11:11,Delayed,Weather,0,1258,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-07 08:00:00,2024-01-07 10:15:00,2024-01-07 11:11,Delayed,Weather,0,1259,0
